Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"1.362.292.043.598,00","5.152.887,00","57.956,00","43.769,53","101.725,53","96,41","70,00","24.189.775,36","2.060.180.945.551,33","155.200.213.661,00","20.266.427.275,00","2.060.263.235.000,00",Provinsi Aceh
"291.687.801.986,00","189.119,00","2.927,95","361,39","3.289,34","96,89","69,26","31.241.149,45","140.614.479.580,25","14.795.042.262,00","7.104.551.356,00","570.763.544.000,00",Kab. Aceh Barat
"398.026.315.681,00","384.661,00","2.969,00","1.679,50","4.648,50","96,05","71,75","26.114.065,81","135.284.494.843,71","18.715.872.355,00","2.501.083.500,00","713.344.629.000,00",Kab. Aceh Besar
"344.633.285.696,00","230.254,00","3.841,60","1.300,49","5.142,09","96,97","64,13","18.564.054,59","125.989.165.878,83","12.343.489.014,00","2.551.637.552,00","641.605.359.000,00",Kab. Aceh Selatan
"169.643.212.012,00","129.963,00","2.185,00","2.743,30","4.928,30","92,93","66,96","14.236.244,10","42.057.160.522,96","16.915.572.751,00","2.914.033.081,00","441.266.415.000,00",Kab. Aceh Singkil
"316.734.158.359,00","208.407,00","4.318,39","0,00","4.318,39","102,64","72,04","29.507.948,85","156.130.102.890,16","13.304.156.542,00","4.003.691.511,00","603.737.495.000,00",Kab. Aceh Tengah
"295.800.947.314,00","221.684,00","4.231,43","0,00","4.231,43","97,33","67,48","17.269.749,92","61.457.042.356,11","13.872.672.112,00","2.122.838.529,00","586.091.423.000,00",Kab. Aceh Tenggara
"438.627.683.675,00","422.261,00","6.286,01","963,94","7.249,95","98,98","65,42","18.768.562,42","94.345.443.632,42","60.282.687.695,00","2.132.722.677,00","786.034.858.000,00",Kab. Aceh Timur
"595.535.874.940,00","575.895,00","3.236,86","365,89","3.602,75","101,12","67,19","20.731.896,43","388.251.800.972,81","144.746.963.933,00","32.835.023.633,00","847.191.268.000,00",Kab. Aceh Utara
"490.918.363.592,00","432.870,00","1.901,20","504,12","2.405,32","100,49","70,21","23.900.078,19","186.162.575.752,23","22.386.573.384,00","2.203.549.600,00","802.618.535.000,00",Kab. Bireuen
